Entity,Year,Global average temperature anomaly relative to 1861-1890
Northern Hemisphere,1850,-0.055067
Northern Hemisphere,1851,0.1615803
Northern Hemisphere,1852,0.14512725
Northern Hemisphere,1853,0.13543713
Northern Hemisphere,1854,0.2061396
Northern Hemisphere,1855,0.13525501
Northern Hemisphere,1856,0.04728845
Northern Hemisphere,1857,-0.07056733
Northern Hemisphere,1858,0.022224907
Northern Hemisphere,1859,0.1330458
Northern Hemisphere,1860,-0.07820275
Northern Hemisphere,1861,-0.024383958
Northern Hemisphere,1862,-0.32068256
Northern Hemisphere,1863,0.07966859
Northern Hemisphere,1864,-0.08087095
Northern Hemisphere,1865,0.013526325
Northern Hemisphere,1866,0.007045571
Northern Hemisphere,1867,-0.024325486
Northern Hemisphere,1868,0.02238432
Northern Hemisphere,1869,0.13202271
Northern Hemisphere,1870,0.06868789
Northern Hemisphere,1871,-0.0600903
Northern Hemisphere,1872,0.023669574
Northern Hemisphere,1873,0.0053049666
Northern Hemisphere,1874,0.08709658
Northern Hemisphere,1875,-0.10289302
Northern Hemisphere,1876,-0.05413693
Northern Hemisphere,1877,0.27946702
Northern Hemisphere,1878,0.45204005
Northern Hemisphere,1879,0.044580672
Northern Hemisphere,1880,-0.0031684595
Northern Hemisphere,1881,0.09677938
Northern Hemisphere,1882,0.007850175
Northern Hemisphere,1883,-0.046234157
Northern Hemisphere,1884,-0.25363216
Northern Hemisphere,1885,-0.12880734
Northern Hemisphere,1886,-0.064637
Northern Hemisphere,1887,-0.11338975
Northern Hemisphere,1888,0.00838009
Northern Hemisphere,1889,0.12036339
Northern Hemisphere,1890,-0.14284292
Northern Hemisphere,1891,-0.031072702
Northern Hemisphere,1892,-0.19523093
Northern Hemisphere,1893,-0.17589429
Northern Hemisphere,1894,-0.061767455
Northern Hemisphere,1895,-0.06429144
Northern Hemisphere,1896,0.087389
Northern Hemisphere,1897,0.12926888
Northern Hemisphere,1898,-0.049617704
Northern Hemisphere,1899,0.047784124
Northern Hemisphere,1900,0.18289912
Northern Hemisphere,1901,0.16592212
Northern Hemisphere,1902,-0.079038374
Northern Hemisphere,1903,-0.12423136
Northern Hemisphere,1904,-0.19744322
Northern Hemisphere,1905,-0.022676524
Northern Hemisphere,1906,0.120518185
Northern Hemisphere,1907,-0.15572718
Northern Hemisphere,1908,-0.09693255
Northern Hemisphere,1909,-0.11278056
Northern Hemisphere,1910,-0.11040311
Northern Hemisphere,1911,-0.07211446
Northern Hemisphere,1912,-0.1492354
Northern Hemisphere,1913,-0.11363318
Northern Hemisphere,1914,0.111980535
Northern Hemisphere,1915,0.20557371
Northern Hemisphere,1916,-0.062365796
Northern Hemisphere,1917,-0.20338956
Northern Hemisphere,1918,-0.08821573
Northern Hemisphere,1919,0.008888607
Northern Hemisphere,1920,0.07203216
Northern Hemisphere,1921,0.21793915
Northern Hemisphere,1922,0.078594424
Northern Hemisphere,1923,0.1259217
Northern Hemisphere,1924,0.18856066
Northern Hemisphere,1925,0.21273372
Northern Hemisphere,1926,0.37933686
Northern Hemisphere,1927,0.27445424
Northern Hemisphere,1928,0.29389182
Northern Hemisphere,1929,0.04474229
Northern Hemisphere,1930,0.35081705
Northern Hemisphere,1931,0.42669213
Northern Hemisphere,1932,0.34339574
Northern Hemisphere,1933,0.11577792
Northern Hemisphere,1934,0.3274267
Northern Hemisphere,1935,0.2942787
Northern Hemisphere,1936,0.3198338
Northern Hemisphere,1937,0.5025954
Northern Hemisphere,1938,0.5403174
Northern Hemisphere,1939,0.43422043
Northern Hemisphere,1940,0.50281006
Northern Hemisphere,1941,0.45631954
Northern Hemisphere,1942,0.44097042
Northern Hemisphere,1943,0.49330673
Northern Hemisphere,1944,0.60089463
Northern Hemisphere,1945,0.46436378
Northern Hemisphere,1946,0.3693552
Northern Hemisphere,1947,0.42503858
Northern Hemisphere,1948,0.38005054
Northern Hemisphere,1949,0.3133171
Northern Hemisphere,1950,0.18993662
Northern Hemisphere,1951,0.4346785
Northern Hemisphere,1952,0.45064667
Northern Hemisphere,1953,0.5874084
Northern Hemisphere,1954,0.34971154
Northern Hemisphere,1955,0.25524187
Northern Hemisphere,1956,0.101699926
Northern Hemisphere,1957,0.3450615
Northern Hemisphere,1958,0.463525
Northern Hemisphere,1959,0.427905
Northern Hemisphere,1960,0.3812258
Northern Hemisphere,1961,0.37409857
Northern Hemisphere,1962,0.42903498
Northern Hemisphere,1963,0.4511935
Northern Hemisphere,1964,0.11982728
Northern Hemisphere,1965,0.18569663
Northern Hemisphere,1966,0.2918693
Northern Hemisphere,1967,0.34169662
Northern Hemisphere,1968,0.24159104
Northern Hemisphere,1969,0.28049123
Northern Hemisphere,1970,0.25832948
Northern Hemisphere,1971,0.15186635
Northern Hemisphere,1972,0.13094598
Northern Hemisphere,1973,0.40243065
Northern Hemisphere,1974,0.13119599
Northern Hemisphere,1975,0.2699471
Northern Hemisphere,1976,0.12896669
Northern Hemisphere,1977,0.4597997
Northern Hemisphere,1978,0.36893275
Northern Hemisphere,1979,0.41191036
Northern Hemisphere,1980,0.5201363
Northern Hemisphere,1981,0.72079253
Northern Hemisphere,1982,0.37095115
Northern Hemisphere,1983,0.5730429
Northern Hemisphere,1984,0.35120758
Northern Hemisphere,1985,0.32880247
Northern Hemisphere,1986,0.4428468
Northern Hemisphere,1987,0.5765443
Northern Hemisphere,1988,0.69649047
Northern Hemisphere,1989,0.59819657
Northern Hemisphere,1990,0.84481627
Northern Hemisphere,1991,0.7660203
Northern Hemisphere,1992,0.4777385
Northern Hemisphere,1993,0.5732742
Northern Hemisphere,1994,0.704055
Northern Hemisphere,1995,0.9494654
Northern Hemisphere,1996,0.6725781
Northern Hemisphere,1997,0.9155499
Northern Hemisphere,1998,1.0951204
Northern Hemisphere,1999,0.85719246
Northern Hemisphere,2000,0.8679054
Northern Hemisphere,2001,1.0090723
Northern Hemisphere,2002,1.0495435
Northern Hemisphere,2003,1.1013008
Northern Hemisphere,2004,1.0143192
Northern Hemisphere,2005,1.2122287
Northern Hemisphere,2006,1.1755902
Northern Hemisphere,2007,1.2129318
Northern Hemisphere,2008,1.0525335
Northern Hemisphere,2009,1.0875689
Northern Hemisphere,2010,1.300329
Northern Hemisphere,2011,1.1061754
Northern Hemisphere,2012,1.1651609
Northern Hemisphere,2013,1.1575035
Northern Hemisphere,2014,1.2886233
Northern Hemisphere,2015,1.51167
Northern Hemisphere,2016,1.6360222
Northern Hemisphere,2017,1.4962262
Northern Hemisphere,2018,1.340491
Northern Hemisphere,2019,1.5245727
Northern Hemisphere,2020,1.6567389
Northern Hemisphere,2021,1.459022
Northern Hemisphere,2022,1.4806312
Northern Hemisphere,2023,1.7946954
Northern Hemisphere,2024,1.9299376
Northern Hemisphere,2025,1.9375346
Southern hemisphere,1850,-0.055760294
Southern hemisphere,1851,0.09631559
Southern hemisphere,1852,0.12067008
Southern hemisphere,1853,0.048449486
Southern hemisphere,1854,-0.064585805
Southern hemisphere,1855,-0.004493027
Southern hemisphere,1856,0.036599606
Southern hemisphere,1857,-0.13929725
Southern hemisphere,1858,-0.07516077
Southern hemisphere,1859,0.029019356
Southern hemisphere,1860,0.022467911
Southern hemisphere,1861,-0.1092464
Southern hemisphere,1862,-0.027460665
Southern hemisphere,1863,-0.04356125
Southern hemisphere,1864,-0.12546372
Southern hemisphere,1865,0.046106488
Southern hemisphere,1866,0.034974933
Southern hemisphere,1867,0.034932762
Southern hemisphere,1868,-0.0014431169
Southern hemisphere,1869,-0.040611118
Southern hemisphere,1870,0.000052572228
Southern hemisphere,1871,0.047560304
Southern hemisphere,1872,0.044704765
Southern hemisphere,1873,0.036696732
Southern hemisphere,1874,-0.109003454
Southern hemisphere,1875,0.076236635
Southern hemisphere,1876,-0.06948739
Southern hemisphere,1877,0.24291082
Southern hemisphere,1878,0.24992508
Southern hemisphere,1879,0.07274616
Southern hemisphere,1880,0.09609981
Southern hemisphere,1881,0.16332506
Southern hemisphere,1882,0.12568516
Southern hemisphere,1883,0.07788083
Southern hemisphere,1884,-0.006412505
Southern hemisphere,1885,-0.08884436
Southern hemisphere,1886,-0.052574724
Southern hemisphere,1887,-0.15958628
Southern hemisphere,1888,-0.04254237
Southern hemisphere,1889,0.10444102
Southern hemisphere,1890,-0.14627793
Southern hemisphere,1891,-0.046961695
Southern hemisphere,1892,-0.09529063
Southern hemisphere,1893,-0.08874869
Southern hemisphere,1894,-0.18116489
Southern hemisphere,1895,-0.10861626
Southern hemisphere,1896,0.06919196
Southern hemisphere,1897,0.07572627
Southern hemisphere,1898,-0.19737104
Southern hemisphere,1899,-0.03405595
Southern hemisphere,1900,0.07270858
Southern hemisphere,1901,-0.028147131
Southern hemisphere,1902,-0.07427922
Southern hemisphere,1903,-0.21774736
Southern hemisphere,1904,-0.27298346
Southern hemisphere,1905,-0.06831443
Southern hemisphere,1906,-0.03414029
Southern hemisphere,1907,-0.12782994
Southern hemisphere,1908,-0.20611134
Southern hemisphere,1909,-0.23399827
Southern hemisphere,1910,-0.22682038
Southern hemisphere,1911,-0.2814481
Southern hemisphere,1912,-0.07724643
Southern hemisphere,1913,-0.095793515
Southern hemisphere,1914,0.08774179
Southern hemisphere,1915,0.1356774
Southern hemisphere,1916,-0.05308503
Southern hemisphere,1917,-0.15765437
Southern hemisphere,1918,-0.035916954
Southern hemisphere,1919,0.06512877
Southern hemisphere,1920,0.055853188
Southern hemisphere,1921,0.025767624
Southern hemisphere,1922,-0.03202632
Southern hemisphere,1923,-0.036689937
Southern hemisphere,1924,-0.08756858
Southern hemisphere,1925,-0.052422196
Southern hemisphere,1926,0.10014863
Southern hemisphere,1927,-0.008085935
Southern hemisphere,1928,0.017772079
Southern hemisphere,1929,-0.10503283
Southern hemisphere,1930,0.020167619
Southern hemisphere,1931,0.091108024
Southern hemisphere,1932,0.09027633
Southern hemisphere,1933,-0.035871267
Southern hemisphere,1934,0.048495084
Southern hemisphere,1935,0.018198311
Southern hemisphere,1936,0.06571981
Southern hemisphere,1937,0.18360215
Southern hemisphere,1938,0.1598766
Southern hemisphere,1939,0.20878066
Southern hemisphere,1940,0.37365705
Southern hemisphere,1941,0.34453455
Southern hemisphere,1942,0.2864372
Southern hemisphere,1943,0.24413194
Southern hemisphere,1944,0.41191113
Southern hemisphere,1945,0.3464084
Southern hemisphere,1946,0.117611066
Southern hemisphere,1947,0.1171457
Southern hemisphere,1948,0.09522241
Southern hemisphere,1949,0.123673946
Southern hemisphere,1950,0.081415236
Southern hemisphere,1951,0.16760908
Southern hemisphere,1952,0.3046579
Southern hemisphere,1953,0.29244858
Southern hemisphere,1954,0.14138348
Southern hemisphere,1955,0.074733764
Southern hemisphere,1956,0.09656432
Southern hemisphere,1957,0.30886415
Southern hemisphere,1958,0.22580537
Southern hemisphere,1959,0.20068087
Southern hemisphere,1960,0.112450525
Southern hemisphere,1961,0.3104974
Southern hemisphere,1962,0.16747507
Southern hemisphere,1963,0.19978075
Southern hemisphere,1964,-0.006954848
Southern hemisphere,1965,0.1300579
Southern hemisphere,1966,0.13493095
Southern hemisphere,1967,0.14782028
Southern hemisphere,1968,0.14570934
Southern hemisphere,1969,0.38133177
Southern hemisphere,1970,0.29613784
Southern hemisphere,1971,0.16095105
Southern hemisphere,1972,0.40606686
Southern hemisphere,1973,0.42206517
Southern hemisphere,1974,0.24834637
Southern hemisphere,1975,0.23313996
Southern hemisphere,1976,0.163955
Southern hemisphere,1977,0.47097278
Southern hemisphere,1978,0.36617467
Southern hemisphere,1979,0.4944014
Southern hemisphere,1980,0.59660333
Southern hemisphere,1981,0.5038271
Southern hemisphere,1982,0.42218092
Southern hemisphere,1983,0.59917223
Southern hemisphere,1984,0.46937495
Southern hemisphere,1985,0.49525252
Southern hemisphere,1986,0.47312266
Southern hemisphere,1987,0.6341041
Southern hemisphere,1988,0.5924084
Southern hemisphere,1989,0.48489955
Southern hemisphere,1990,0.60094404
Southern hemisphere,1991,0.6363683
Southern hemisphere,1992,0.49665067
Southern hemisphere,1993,0.4827357
Southern hemisphere,1994,0.48764005
Southern hemisphere,1995,0.5288624
Southern hemisphere,1996,0.6053962
Southern hemisphere,1997,0.6536627
Southern hemisphere,1998,0.7841584
Southern hemisphere,1999,0.516373
Southern hemisphere,2000,0.5188597
Southern hemisphere,2001,0.6940839
Southern hemisphere,2002,0.76198494
Southern hemisphere,2003,0.71163493
Southern hemisphere,2004,0.6450178
Southern hemisphere,2005,0.7260918
Southern hemisphere,2006,0.6941107
Southern hemisphere,2007,0.6950664
Southern hemisphere,2008,0.60336167
Southern hemisphere,2009,0.83058983
Southern hemisphere,2010,0.7850094
Southern hemisphere,2011,0.6938156
Southern hemisphere,2012,0.7146487
Southern hemisphere,2013,0.8142427
Southern hemisphere,2014,0.7817155
Southern hemisphere,2015,0.8631544
Southern hemisphere,2016,0.9544275
Southern hemisphere,2017,0.91871786
Southern hemisphere,2018,0.90941256
Southern hemisphere,2019,0.98216796
Southern hemisphere,2020,0.9136977
Southern hemisphere,2021,0.78938454
Southern hemisphere,2022,0.846575
Southern hemisphere,2023,1.1305256
Southern hemisphere,2024,1.1562582
Southern hemisphere,2025,1.1676264
World,1850,-0.05541366
World,1851,0.12894794
World,1852,0.13289867
World,1853,0.0919433
World,1854,0.07077692
World,1855,0.065381
World,1856,0.04194403
World,1857,-0.1049323
World,1858,-0.026467945
World,1859,0.08103258
World,1860,-0.027867433
World,1861,-0.06681519
World,1862,-0.17407164
World,1863,0.018053684
World,1864,-0.10316732
World,1865,0.029816423
World,1866,0.021010254
World,1867,0.005303625
World,1868,0.010470603
World,1869,0.0457058
World,1870,0.034370217
World,1871,-0.0062650107
World,1872,0.03418717
World,1873,0.021000836
World,1874,-0.010953452
World,1875,-0.013328191
World,1876,-0.06181216
World,1877,0.2611889
World,1878,0.35098255
World,1879,0.05866343
World,1880,0.0464657
World,1881,0.13005222
World,1882,0.06676767
World,1883,0.015823338
World,1884,-0.13002232
World,1885,-0.108825825
World,1886,-0.058605876
World,1887,-0.13648802
World,1888,-0.017081138
World,1889,0.11240219
World,1890,-0.14456043
World,1891,-0.039017197
World,1892,-0.14526078
World,1893,-0.13232148
World,1894,-0.12146618
World,1895,-0.08645385
World,1896,0.07829047
World,1897,0.102497585
World,1898,-0.12349438
World,1899,0.0068641044
World,1900,0.12780385
World,1901,0.06888751
World,1902,-0.07665878
World,1903,-0.17098936
World,1904,-0.23521331
World,1905,-0.045495477
World,1906,0.043188963
World,1907,-0.14177856
World,1908,-0.15152195
World,1909,-0.1733894
World,1910,-0.16861174
World,1911,-0.17678127
World,1912,-0.11324089
World,1913,-0.10471334
World,1914,0.09986118
World,1915,0.17062555
World,1916,-0.057725396
World,1917,-0.18052194
World,1918,-0.062066343
World,1919,0.037008677
World,1920,0.06394268
World,1921,0.121853404
World,1922,0.023284052
World,1923,0.04461587
World,1924,0.050496046
World,1925,0.08015577
World,1926,0.23974274
World,1927,0.13318415
World,1928,0.15583193
World,1929,-0.030145284
World,1930,0.18549232
World,1931,0.25890008
World,1932,0.21683604
World,1933,0.039953325
World,1934,0.1879609
World,1935,0.15623851
World,1936,0.1927768
World,1937,0.3430988
World,1938,0.350097
World,1939,0.32150054
World,1940,0.43823355
World,1941,0.40042704
World,1942,0.36370382
World,1943,0.36871934
World,1944,0.5064029
World,1945,0.4053861
World,1946,0.24348314
World,1947,0.27109215
World,1948,0.23763648
World,1949,0.21849552
World,1950,0.13567594
World,1951,0.3011438
World,1952,0.3776523
World,1953,0.4399285
World,1954,0.24554752
World,1955,0.1649878
World,1956,0.09913213
World,1957,0.32696283
World,1958,0.3446652
World,1959,0.31429294
World,1960,0.24683817
World,1961,0.34229797
World,1962,0.29825503
World,1963,0.32548714
World,1964,0.056436215
World,1965,0.15787727
World,1966,0.21340014
World,1967,0.24475846
World,1968,0.19365019
World,1969,0.33091152
World,1970,0.27723366
World,1971,0.1564087
World,1972,0.26850644
World,1973,0.4122479
World,1974,0.18977118
World,1975,0.25154352
World,1976,0.14646085
World,1977,0.46538624
World,1978,0.3675537
World,1979,0.45315588
World,1980,0.5583698
World,1981,0.6123098
World,1982,0.39656603
World,1983,0.5861076
World,1984,0.41029125
World,1985,0.41202748
World,1986,0.45798472
World,1987,0.60532415
World,1988,0.6444495
World,1989,0.5415481
World,1990,0.7228801
World,1991,0.7011943
World,1992,0.48719457
World,1993,0.52800494
World,1994,0.59584755
World,1995,0.7391639
World,1996,0.6389871
World,1997,0.7846063
World,1998,0.93963945
World,1999,0.6867827
World,2000,0.6933825
World,2001,0.8515781
World,2002,0.9057643
World,2003,0.9064679
World,2004,0.82966846
World,2005,0.96916026
World,2006,0.93485045
World,2007,0.9539991
World,2008,0.8279476
World,2009,0.9590794
World,2010,1.0426692
World,2011,0.8999955
World,2012,0.9399048
World,2013,0.9858731
World,2014,1.0351694
World,2015,1.1874121
World,2016,1.2952248
World,2017,1.207472
World,2018,1.1249518
World,2019,1.2533703
World,2020,1.2852182
World,2021,1.1242033
World,2022,1.1636031
World,2023,1.4626105
World,2024,1.5430979
World,2025,1.5525805